tier,epochs,has_redshift,anchor_phase_days,median,percentile_16,percentile_84,minimum,maximum
deep,2,True,4.83,0.9999954700469971,0.9999945259094238,0.9999959468841553,0.9999936819076538,0.9999964237213135
deep,2,True,4.93,0.9999964237213135,0.9999959564208984,0.999996542930603,0.9999949932098389,0.9999969005584717
deep,2,True,5.03,0.9999969005584717,0.9999965524673462,0.9999970197677612,0.9999961853027344,0.9999972581863403
deep,2,True,5.13,0.9999972581863403,0.9999970197677612,0.9999973773956299,0.9999967813491821,0.9999974966049194
deep,2,True,5.23,0.9999974966049194,0.9999973773956299,0.999997615814209,0.9999971389770508,0.9999977350234985
deep,2,True,5.33,0.9999977350234985,0.999997615814209,0.9999978542327881,0.9999973773956299,0.9999979734420776
wide,1,False,1.43,0.9997265934944153,0.9997186160087586,0.9997333216667176,0.9996993541717529,0.9997405409812927
wide,1,False,1.53,0.9997227191925049,0.9997148013114929,0.9997305512428284,0.9996962547302246,0.9997381567955017
wide,1,False,1.63,0.999718964099884,0.9997118210792542,0.9997276902198792,0.9996936321258545,0.9997358918190002
wide,1,False,1.73,0.9997161030769348,0.9997096753120422,0.9997248578071595,0.9996914863586426,0.9997333884239197
wide,1,False,1.83,0.999714195728302,0.9997078061103821,0.9997223019599915,0.999690055847168,0.99973064661026
wide,1,False,1.93,0.9997129440307617,0.9997065234184265,0.9997214674949646,0.9996892213821411,0.999728262424469
wide,1,False,2.03,0.9997124671936035,0.9997055888175964,0.999721281528473,0.9996887445449829,0.9997283816337585
wide,1,False,2.13,0.9997134208679199,0.9997050404548645,0.999722707271576,0.9996882677078247,0.9997299313545227
wide,1,False,2.23,0.9997150897979736,0.9997068619728089,0.9997242760658264,0.9996883869171143,0.9997311234474182
wide,1,False,2.33,0.9997169375419617,0.9997089600563049,0.9997257256507873,0.9996901750564575,0.9997325539588928
wide,1,False,2.43,0.9997186660766602,0.9997107672691345,0.9997274136543274,0.9996929168701172,0.9997343420982361
wide,1,False,2.53,0.9997192025184631,0.999711344242096,0.9997278094291687,0.9996936321258545,0.9997350573539734
wide,1,False,2.63,0.9997197985649109,0.9997121691703796,0.9997283339500427,0.9996943473815918,0.9997361302375793
wide,1,False,2.73,0.9997209906578064,0.9997126650810242,0.9997290873527527,0.9996954202651978,0.9997374415397644
wide,1,False,2.83,0.999722421169281,0.9997135186195374,0.9997301506996155,0.9996968507766724,0.9997391104698181
